City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
146,Yeppoon,AU,66.2,8/28/2020 22:58,-23.13,150.73,Villa Mar Colina
147,Butaritari,KI,82.29,8/28/2020 22:58,3.07,172.79,Isles Sunset Lodge
148,Bonavista,CA,57.99,8/28/2020 22:58,48.65,-53.11,Abbott's Bed & Breakfast
149,Ozu,JP,82.4,8/28/2020 22:58,33.5,132.55,HOTEL FOREST
150,Along,IN,71.37,8/28/2020 22:58,28.17,94.77,Hotel West
151,Kruisfontein,ZA,48.99,8/28/2020 22:58,-34.0,24.73,Oyster Bay House Rental
152,Bairiki,KI,86.0,8/28/2020 22:58,1.33,172.98,Tarawa Boutique Hotel
153,Forbes,AU,48.0,8/28/2020 22:58,-33.38,148.02,Lake Forbes Motel
154,Corn Island,NI,84.31,8/28/2020 22:58,12.17,-83.04,Big Fish Guest House
155,Hithadhoo,MV,81.7,8/28/2020 22:58,-0.6,73.08,Scoop Guest House
156,Beberibe,BR,78.8,8/28/2020 22:58,-4.18,-38.13,Villa Arte Pousada Morro Branco
157,Suruc,TR,78.8,8/28/2020 22:58,36.98,38.42,Kumbet Otel
158,Fort Nelson,CA,55.4,8/28/2020 22:55,58.81,-122.7,The Fort Nelson Hotel
159,Port Lincoln,AU,59.45,8/28/2020 22:58,-34.73,135.87,Port Lincoln Hotel
160,Namatanai,PG,82.22,8/28/2020 22:58,-3.67,152.43,Namatanai Hotel
161,Ostrovnoy,RU,48.79,8/28/2020 22:58,68.05,39.51,
162,Los Llanos De Aridane,ES,75.99,8/28/2020 22:58,28.66,-17.92,Valle Aridane
163,Sorland,NO,46.4,8/28/2020 22:58,67.67,12.69,Sjybrygga fiskecamp
164,Talcahuano,CL,50.0,8/28/2020 22:58,-36.72,-73.12,Hotel Terramar
165,Cockburn Town,TC,86.0,8/28/2020 22:58,21.46,-71.14,Osprey Beach Hotel
166,Komsomolskiy,UZ,64.4,8/28/2020 22:58,40.43,71.72,Ikathouse
167,Noyabrsk,RU,54.34,8/28/2020 22:58,63.2,75.45,Hotel Uyutnaya
168,Majene,ID,77.67,8/28/2020 22:58,-3.54,118.97,Kost Putri RABBANI
169,Cherskiy,RU,45.66,8/28/2020 22:58,68.75,161.3,Gostinitsa
170,Chokurdakh,RU,40.39,8/28/2020 22:58,70.63,147.92,
171,Pospelikha,RU,53.6,8/28/2020 22:58,51.95,81.77,
172,Sijunjung,ID,71.82,8/28/2020 22:58,-0.69,100.95,Hotel Bukik Gadang
173,Nago,JP,82.4,8/28/2020 22:58,26.59,127.98,Hotel Yugaf Inn Okinawa
174,Carnarvon,AU,57.2,8/28/2020 22:58,-24.87,113.63,Hospitality Carnarvon
175,Hasaki,JP,86.0,8/28/2020 22:58,35.73,140.83,Inubosaki Kanko Hotel
176,Skibbereen,IE,51.8,8/28/2020 22:58,51.55,-9.27,The West Cork Hotel
177,Boda,CF,69.73,8/28/2020 22:58,4.32,17.47,
178,Tautira,PF,84.2,8/28/2020 22:58,-17.73,-149.15,Pension Oaoa
179,Kysyl-Syr,RU,53.82,8/28/2020 22:58,63.9,122.76,
180,Aswan,EG,82.58,8/28/2020 22:58,24.09,32.91,Nuba Nile
181,Belyy Yar,RU,59.0,8/28/2020 22:58,53.6,91.39,Pasportnyy Stol
182,Atar,MR,92.93,8/28/2020 22:58,20.52,-13.05,Oumou Elghoura
183,Riachao Das Neves,BR,74.52,8/28/2020 22:58,-11.75,-44.91,Casa de vó Dina
184,Buluang,PH,81.05,8/28/2020 22:58,13.31,123.34,Enon Beach Resort
185,Saint-Philippe,RE,69.8,8/28/2020 22:55,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
186,Sitka,US,57.2,8/28/2020 22:57,57.05,-135.33,Westmark Sitka
